area_name,area_code,population_max,population_max_0,population_max_1,population_max_2,population_max_3,population_max_4,population_max_5,population_max_6,population_max_7,population_max_8,population_max_9,population_max_10,population_man_max,population_man_0,population_man_1,population_man_2,population_man_3,population_man_4,population_man_5,population_man_6,population_man_7,population_man_8,population_man_9,population_man_10,population_woman_max,population_woman_0,population_woman_1,population_woman_2,population_woman_3,population_woman_4,population_woman_5,population_woman_6,population_woman_7,population_woman_8,population_woman_9,population_woman_10
서울특별시 광진구 군자동,1121573000,19633,813,978,4493,3599,2517,2807,2485,1319,562,58,2,9716,423,512,2164,1827,1323,1423,1209,606,220,9,0,9917,390,466,2329,1772,1194,1384,1276,713,342,49,2
서울특별시 광진구 중곡제1동,1121574000,15497,700,713,2819,2954,2072,2457,2178,1129,428,46,1,7501,362,371,1231,1484,1080,1252,1006,522,186,6,1,7996,338,342,1588,1470,992,1205,1172,607,242,40,0
서울특별시 광진구 중곡제2동,1121575000,21476,1065,1326,3744,3874,2973,3451,2974,1461,533,73,2,10129,542,664,1632,1891,1467,1612,1394,686,228,11,2,11347,523,662,2112,1983,1506,1839,1580,775,305,62,0
서울특별시 광진구 중곡제3동,1121576000,16175,701,877,2600,2672,2188,2828,2456,1269,511,69,4,8020,387,443,1283,1411,1115,1395,1203,575,190,17,1,8155,314,434,1317,1261,1073,1433,1253,694,321,52,3
서울특별시 광진구 중곡제4동,1121577000,28609,1297,1839,4322,4199,3935,5218,4581,2282,828,100,8,14018,683,984,2152,2148,1995,2467,2177,1062,321,25,4,14591,614,855,2170,2051,1940,2751,2404,1220,507,75,4
서울특별시 광진구 능동,1121578000,11311,502,529,2318,2535,1603,1460,1291,723,310,38,2,5211,266,269,988,1154,818,667,582,325,126,16,0,6100,236,260,1330,1381,785,793,709,398,184,22,2
서울특별시 광진구 광장동,1121581000,34764,2965,5466,4024,3572,7386,5707,3204,1438,850,147,5,16818,1546,2797,2005,1557,3350,2921,1582,668,346,44,2,17946,1419,2669,2019,2015,4036,2786,1622,770,504,103,3
서울특별시 광진구 자양제1동,1121582000,22345,889,1480,4235,3710,3309,3558,2935,1499,654,75,1,10851,450,781,2021,1892,1659,1748,1372,636,269,23,0,11494,439,699,2214,1818,1650,1810,1563,863,385,52,1
서울특별시 광진구 자양제2동,1121583000,24684,1489,1779,3650,3711,3844,4105,3729,1649,634,90,4,11960,749,954,1781,1816,1892,1941,1790,761,251,24,1,12724,740,825,1869,1895,1952,2164,1939,888,383,66,3
서울특별시 광진구 자양제3동,1121584000,28123,2183,2554,3802,4082,4463,4687,3688,1624,898,139,3,13453,1097,1228,1904,1914,2111,2240,1814,745,350,49,1,14670,1086,1326,1898,2168,2352,2447,1874,879,548,90,2
서울특별시 광진구 자양제4동,1121584700,17908,684,852,2871,2764,2375,3014,3066,1579,629,72,2,8918,350,407,1404,1498,1241,1578,1469,713,241,16,1,8990,334,445,1467,1266,1134,1436,1597,866,388,56,1
서울특별시 광진구 구의제1동,1121585000,21594,775,1093,4661,4250,3105,3100,2552,1378,594,70,16,10275,399,537,2118,2116,1547,1506,1183,617,232,18,2,11319,376,556,2543,2134,1558,1594,1369,761,362,52,14
서울특별시 광진구 구의제2동,1121586000,26547,1686,2259,3661,3757,4231,4556,3610,1913,775,95,4,12803,877,1136,1806,1872,2059,2214,1632,880,307,20,0,13744,809,1123,1855,1885,2172,2342,1978,1033,468,75,4
서울특별시 광진구 구의제3동,1121587000,28653,1781,2446,4460,4538,4386,4819,3643,1697,769,110,4,13561,896,1205,2072,2200,2027,2301,1742,786,295,36,1,15092,885,1241,2388,2338,2359,2518,1901,911,474,74,3
서울특별시 동대문구 ,1123000000,337316,19577,22831,56335,48953,48970,52235,47462,27352,12078,1449,74,166591,10026,11576,27507,25164,25241,26492,23042,12367,4769,387,20,170725,9551,11255,28828,23789,23729,25743,24420,14985,7309,1062,54
서울특별시 동대문구 용신동,1123053600,30960,1194,1377,6187,5454,4102,4566,4310,2470,1165,128,7,15554,603,717,2813,2815,2237,2488,2225,1138,480,36,2,15406,591,660,3374,2639,1865,2078,2085,1332,685,92,5
서울특별시 동대문구 제기동,1123054500,24688,976,1352,4467,3227,2962,3803,3953,2580,1219,141,8,12655,494,711,2404,1774,1634,2019,1930,1171,476,40,2,12033,482,641,2063,1453,1328,1784,2023,1409,743,101,6
서울특별시 동대문구 전농제1동,1123056000,29298,1789,1825,4496,4109,4223,4811,4319,2474,1120,123,9,14677,926,912,2275,2075,2257,2478,2162,1120,446,25,1,14621,863,913,2221,2034,1966,2333,2157,1354,674,98,8
서울특별시 동대문구 전농제2동,1123057000,18636,1163,1676,2210,2194,2942,3206,2814,1564,779,85,3,8976,585,819,1129,1133,1412,1565,1296,675,332,29,1,9660,578,857,1081,1061,1530,1641,1518,889,447,56,2
서울특별시 동대문구 답십리제1동,1123060000,29068,2672,1981,4133,5192,4775,4249,3410,1743,805,99,9,14028,1360,1010,1879,2449,2467,2082,1674,782,296,28,1,15040,1312,971,2254,2743,2308,2167,1736,961,509,71,8
서울특별시 동대문구 답십리제2동,1123061000,28421,1793,1858,3560,4345,4083,4800,4350,2432,1071,127,2,13823,890,924,1795,2215,2058,2362,2053,1096,403,26,1,14598,903,934,1765,2130,2025,2438,2297,1336,668,101,1
서울특별시 동대문구 장안제1동,1123065000,38279,2358,2601,5298,6219,6216,5963,5576,2882,1032,127,7,18946,1222,1319,2476,3186,3235,2972,2690,1394,412,40,0,19333,1136,1282,2822,3033,2981,2991,2886,1488,620,87,7
서울특별시 동대문구 장안제2동,1123066000,32496,2729,2782,3809,4920,5682,4960,4404,2266,824,109,11,16220,1410,1504,1935,2467,2880,2486,2120,1066,322,25,5,16276,1319,1278,1874,2453,2802,2474,2284,1200,502,84,6
서울특별시 동대문구 청량리동,1123070500,18875,713,1038,2190,2106,2329,3234,3795,2290,1038,138,4,9386,365,547,1154,1139,1208,1644,1883,1016,394,36,0,9489,348,491,1036,967,1121,1590,1912,1274,644,102,4
서울특별시 동대문구 회기동,1123071000,10520,402,676,3356,1501,1267,1221,1002,668,376,49,2,5003,207,311,1547,797,628,621,456,283,140,11,2,5517,195,365,1809,704,639,600,546,385,236,38,0
서울특별시 동대문구 휘경제1동,1123072000,13900,809,767,3587,2176,1689,1918,1540,932,426,53,3,6620,403,375,1536,1120,870,948,760,405,189,13,1,7280,406,392,2051,1056,819,970,780,527,237,40,2
서울특별시 동대문구 휘경제2동,1123073000,24158,1136,2008,5495,2915,3406,3537,3015,1797,753,94,2,12051,608,958,2912,1569,1674,1786,1432,798,279,35,0,12107,528,1050,2583,1346,1732,1751,1583,999,474,59,2
서울특별시 동대문구 이문제1동,1123074000,18003,665,1171,4794,2149,2254,2588,2165,1415,717,82,3,8984,346,606,2349,1214,1163,1339,1030,618,294,24,1,9019,319,565,2445,935,1091,1249,1135,797,423,58,2
서울특별시 동대문구 이문제2동,1123075000,20014,1178,1719,2753,2446,3040,3379,2809,1839,753,94,4,9668,607,863,1303,1211,1518,1702,1331,805,306,19,3,10346,571,856,1450,1235,1522,1677,1478,1034,447,75,1
서울특별시 중랑구 ,1126000000,387667,21419,25540,54312,56942,55755,67614,60625,31161,12611,1608,80,191305,11029,12968,26755,29256,28877,33456,29420,14192,4980,352,20,196362,10390,12572,27557,27686,26878,34158,31205,16969,7631,1256,60
서울특별시 중랑구 면목제2동,1126052000,24032,1141,1464,3209,3212,3489,4757,3806,2048,789,113,4,11996,593,726,1605,1689,1850,2425,1850,918,316,24,0,12036,548,738,1604,1523,1639,2332,1956,1130,473,89,4
서울특별시 중랑구 면목제4동,1126054000,19085,1007,1196,2458,2665,2945,3291,3022,1813,616,68,4,9504,529,622,1275,1394,1560,1643,1434,778,248,20,1,9581,478,574,1183,1271,1385,1648,1588,1035,368,48,3
서울특별시 중랑구 면목제5동,1126055000,14792,1389,880,1761,2676,2293,2419,1985,995,358,36,0,7431,686,453,888,1345,1249,1224,984,456,136,10,0,7361,703,427,873,1331,1044,1195,1001,539,222,26,0
서울특별시 중랑구 면목본동,1126056500,33525,1402,1807,5203,5175,4778,6157,5077,2744,1069,108,5,16615,718,874,2599,2732,2518,3072,2457,1206,417,20,2,16910,684,933,2604,2443,2260,3085,2620,1538,652,88,3
서울특별시 중랑구 면목제7동,1126057000,21770,1117,1172,2972,3269,3064,3781,3652,1941,707,94,1,10951,620,602,1498,1672,1648,1870,1812,920,288,21,0,10819,497,570,1474,1597,1416,1911,1840,1021,419,73,1
서울특별시 중랑구 면목제3.8동,1126057500,24842,1011,1389,3652,3500,3358,4590,4128,2228,869,113,4,12315,522,718,1827,1861,1758,2267,1974,1007,353,27,1,12527,489,671,1825,1639,1600,2323,2154,1221,516,86,3
